| Cross | Product (?) | Sum (+) |
| ----: | ----------: | ------: |
| 0001 |   **308** | **36** |
| 0002 |   **464** | **45** |
| 0003 |   **48** | **26** |
| 0004 |   **46** | **25** |
| 0005 |   **378** | **39** |
| 0006 |   **315** | **36** |
| 0007 |   **40** | **13** |
| 0008 |   **6888** | **166** |
| 0009 |   **460** | **43** |
| 0010 |   **616** | **50** |
| 0011 |   **18** | **11** |
| 0012 |   **450** | **45** |
| 0013 |   **406** | **43** |
| 0014 |   **621** | **50** |
| 0015 |   **12** | **13** |
| 0016 |   **476** | **45** |
| 0017 |   **231** | **32** |
| 0018 |   **336** | **40** |
| 0019 |   **5** | **6** |
| 0020 |   **132** | **28** |
| 0021 |   **390** | **43** |
| 0022 |   **322** | **37** |
| 0023 |   **77** | **18** |
| 0024 |   **667** | **52** |
| 0025 |   **208** | **34** |
| 0026 |   **32** | **12** |
| 0027 |   **231** | **32** |
| 0028 |   **220** | **32** |
| 0029 |   **273** | **34** |
| 0030 |   **324** | **39** |
| 0031 |   **66** | **17** |
| 0032 |   **279** | **40** |
| 0033 |   **207** | **32** |
| 0034 |   **280** | **34** |
| 0035 |   **312** | **38** |
| 0036 |   **420** | **41** |
| 0037 |   **176** | **27** |
| 0038 |   **5** | **6** |
| 0039 |   **200** | **33** |
| 0040 |   **20** | **21** |
| 0041 |   **520** | **46** |
| 0042 |   **27** | **12** |
| 0043 |   **246** | **85** |
| 0044 |   **12** | **8** |
| 0045 |   **405** | **42** |
| 0046 |   **112** | **22** |
| 0047 |   **112** | **22** |
| 0048 |   **750** | **55** |
| 0049 |   **30** | **13** |
| 0050 |   **168** | **26** |
| 0051 |   **22** | **23** |
| 0052 |   **48** | **19** |
| 0053 |   **152** | **27** |
| 0054 |   **551** | **48** |
| 0055 |   **31** | **32** |
| 0056 |   **32** | **12** |
| 0057 |   **840** | **58** |
| 0058 |   **19** | **20** |
| 0059 |   **744** | **55** |
| 0060 |   **84** | **31** |
| 0061 |   **196** | **35** |
| 0062 |   **425** | **42** |
| 0063 |   **28** | **16** |
| 0064 |   **24** | **25** |
| 0065 |   **220** | **32** |
| 0066 |   **416** | **42** |
| 0067 |   **14** | **9** |
| 0068 |   **176** | **27** |
| 0069 |   **45** | **18** |
| 0070 |   **279** | **40** |
| 0071 |   **464** | **45** |
| 0072 |   **186** | **37** |
| 0073 |   **16** | **17** |
| 0074 |   **378** | **39** |
| 0075 |   **36** | **15** |
| 0076 |   **105** | **26** |
| 0077 |   **299** | **36** |
| 0078 |   **260** | **33** |
| 0079 |   **560** | **48** |
| 0080 |   **266** | **33** |
| 0081 |   **18** | **11** |
| 0082 |   **240** | **31** |
| 0083 |   **162** | **33** |
| 0084 |   **162** | **27** |
| 0085 |   **38** | **21** |
| 0086 |   **36** | **13** |
| 0087 |   **54** | **29** |
| 0088 |   **261** | **38** |
| 0089 |   **806** | **57** |
| 0090 |   **196** | **35** |
| 0091 |   **91** | **20** |
| 0092 |   **899** | **60** |
| 0093 |   **4** | **5** |
| 0094 |   **30** | **13** |
| 0095 |   **342** | **37** |
| 0096 |   **150** | **31** |
| 0097 |   **112** | **32** |
| 0098 |   **308** | **36** |
| 0099 |   **117** | **22** |
| 0100 |   **50** | **27** |
| 0101 |   **96** | **22** |
| 0102 |   **532** | **47** |
| 0103 |   **50** | **15** |
| 0104 |   **315** | **36** |
| 0105 |   **12** | **7** |
| 0106 |   **754** | **55** |
| 0107 |   **80** | **21** |
| 0108 |   **432** | **42** |
| 0109 |   **756** | **55** |
| 0110 |   **23** | **24** |
| 0111 |   **161** | **30** |
| 0112 |   **144** | **25** |
| 0113 |   **98** | **21** |
| 0114 |   **297** | **38** |
| 0115 |   **483** | **44** |
