0: [(7.854216376673062, 5.270059310525799), (-4.320827489318065, 15.466571733884418), (-13.639928337249069, 10.018460829301127), (-19.28440414023521, 7.945948275265054), (-27.436211227783414, -3.222735512256366), (-21.710662931220718, -4.50457171973528), (-23.231055164343584, -5.62761564817508), (-18.1563752642722, -15.412088177714107), (-20.04813884896621, -15.473138127042589), (-11.717570278116412, -15.469398921011283), (-0.4482142844163195, -19.24455630779915), (-2.5183031490955363, -7.209245171677491), (6.775579516306242, -6.148696179200631), (7.740488524915577, -6.476806135289156), (8.731996829407585, -4.685697740741952)]
1: [(13.48636671268001, -13.575898134755137), (8.690522583663958, -12.610327716569069), (7.545846337952046, -10.176274670852788), (9.838958103570592, -6.6219472051518995), (0.27344123115027497, 5.188533967370916), (-4.604680000052424, 6.4670706343215185), (-0.6285078347173654, 1.7697801424785478), (-13.415713958962494, 2.299160363815055), (-21.60098826560104, -4.146790386690882), (-21.54376769312251, -13.56001748886262), (-7.702420303273287, -28.02077087734665), (-6.00858716423695, -25.40195791206596), (-2.001355726702874, -27.441553028605416), (5.256515540573613, -18.371939188978367), (12.620236672156206, -8.345119009090046)]
2: [(21.238895281270178, -9.179595558452059), (15.52547318962459, -8.54007574117492), (9.79180318360674, 3.688903961180192), (-8.39348341798874, -2.8215932311347993), (-10.825709201053115, -8.481263462633061), (-12.338532564888569, -13.641884714925128), (-13.605258343440804, -19.191400116687184), (-7.351637624526971, -20.742550410111452), (-4.445290969586375, -25.61382615740124), (-8.024322059662095, -27.694299482431063), (-5.3287106149110395, -22.25005189860928), (5.961932527447064, -23.699350975908093), (15.325523184934003, -25.39366687959089), (17.069406058068893, -15.908385099282773), (13.903270083607005, -15.84293103449126)]
3: [(1.2292088849419245, 4.366501295192474), (-2.985713101225605, 12.825265107070212), (-1.9512858978901564, 10.721767397592888), (-8.782773566454539, 14.666331884868598), (-9.7471729303505, 19.326125436626022), (-23.755457017599248, 10.633257157487941), (-23.84436302790111, 1.164901421107042), (-22.608449652325145, -5.128244139930369), (-23.44532834619948, -8.141299166502503), (-20.066798608409414, -12.25044660088465), (-19.35821899722785, -13.66522697050804), (-8.29120443273682, -13.883376045808125), (-3.538960142527323, -9.834813564909716), (-2.350767226420369, -7.426357192238862), (-3.596312578748586, -6.6630007281138575)]
4: [(20.89769561914521, 16.15351544950129), (13.17573696008068, 8.84050755118351), (-4.925613997655935, 4.883870642879309), (-9.52220644457022, 5.057659311299059), (-5.836001099347243, 5.1105885234863395), (-2.6749642124670565, -2.4742422250517246), (-7.127640326842828, -6.452259565013554), (6.324836917139416, -15.374823756739028), (4.263559917437093, -11.370969639243512), (1.4871096390423522, -12.897938048099382), (11.746796736422947, -14.848106330105454), (10.470171766091987, -13.875920940774973), (14.117408838407943, -3.9855388440535657), (22.28064823900879, 2.6805437942667956), (19.14234298605942, 3.36114853652382)]
5: [(5.006245575332901, -2.02845616098975), (-3.3806138123453326, 7.721347641474196), (-19.84891327498458, 2.8675570557259773), (-19.213412620096577, 1.3898077189298235), (-15.69812815465996, -1.8098446061637334), (-19.84603807851774, -5.49062698182362), (-21.776665815928073, -8.482693216037179), (-22.373608840724746, -18.900054869074793), (-11.848991859334737, -22.11483956339655), (-17.664650353671227, -22.21570983041156), (-10.583981860943851, -20.64293690476423), (-7.6229895155356235, -19.44355982624167), (0.7395262382500576, -18.47384579125799), (13.383747579597399, -8.61865601451571), (12.197697256603275, -17.029063692894578)]
6: [(21.039274133313107, 12.825109103919912), (16.878459937254533, 17.04847904279985), (14.332593904633391, 27.030855210392723), (8.24887893267765, 28.94994741335754), (-4.1016603883779625, 22.097476179999298), (-11.74849297715047, 21.40024395096725), (-10.38362529316006, 15.570583958082349), (-8.069547253863277, 3.0737010397602367), (3.432922026535078, -5.859958008895677), (4.226040690243392, -7.79802158984785), (3.905384995252411, -5.714648663608833), (9.754287138815254, 4.930810960673913), (18.23596906847772, 2.9484911890336143), (14.693210820839933, 9.431348476769072), (19.285941784818633, 11.596501254632834)]
7: [(18.91573323123471, -2.087972474255455), (11.879721304015977, 0.9103688584901235), (14.328883708913601, -0.717128636741275), (16.89946822436712, -2.3027575481097706), (8.953209745847017, 4.516153658361485), (3.675805699741364, 3.6767914558071384), (-13.020640166906418, 2.5033523051197806), (-8.192830299493794, 1.932639288602206), (-18.21221895091848, -4.119265659490788), (-14.33890860549787, -13.069523215661302), (0.28230489320958263, -18.634724188864645), (-3.8903694036369885, -19.762663286507667), (-5.39839508345701, -18.109336590403284), (11.491132488861863, -9.584131543148679), (17.831864491206737, -8.988660036781297)]
8: [(25.37276988521056, -5.665552824630369), (16.810763925919698, 1.9438054859256733), (17.352088091107586, 1.108124090377804), (6.511237255196789, 4.853595392710177), (4.479992580602868, 9.649737724353201), (-3.5589423040627466, -0.6932655733107931), (-1.6666545772570993, -6.05674437021074), (2.6910552355539488, -24.679178476305978), (10.030781896929076, -23.642025446383517), (14.970305849604364, -22.305072166227447), (9.282285597509405, -24.05711743704526), (26.32617697835765, -17.946650112421946), (20.66356732538448, -16.567302473589784), (23.501518843178403, -14.805922345793372), (21.59210295981667, -13.917847336544124)]
9: [(29.792170596866324, 12.548132358242752), (27.654442533515958, 13.523329106557906), (23.87309250099451, 17.460425782014656), (20.301755906716487, 13.663240860240409), (18.109373140573695, 15.06811157111186), (6.827051440125578, 18.08395620021658), (0.9889750917063074, 14.256234952421261), (-3.1715863949113183, 7.740593604199583), (-5.2871549353511025, 13.776444593763774), (-4.6402336413560645, 3.7818597163075838), (-1.3120889671788056, -5.694913285938567), (4.368373637920136, -2.9618538291339354), (8.589638438336765, -8.625612583895418), (10.88466566842484, -12.117528037639026), (25.33790992576727, -6.933991577785586)]
10: [(19.306263980484008, 19.539666394596487), (2.2921332084256862, 11.399892617642966), (2.194122853205159, 3.6569548989141953), (0.1428327035052097, 5.331862890036299), (2.5799858233062736, 3.510928612926128), (1.4413799886346397, -2.5473217975148663), (5.207837358712688, 0.1444955772251193), (8.221620030188676, -11.018773806981413), (11.112646647432207, -15.066705259654789), (16.07566421182921, -9.438478412092365), (23.06703399428593, -12.457749591372547), (16.30973557375632, -14.423775136166203), (32.97874324679881, -0.49108486910805715), (32.130504590291714, -4.002579309955648), (30.929542945115926, 6.5361283790036)]
